Rank,Name,Matches,Inns,Avg,SR,HS,Fours,Sixs,Fifty,Century,Runs
156,Aashish Kapoor,17,6,7.16,68.25,19,2,1,0,0,43
157,Shivam Dube,4,4,10.75,89.58,25,3,2,0,0,43
158,Wriddhiman Saha,9,5,13.66,73.21,16,5,0,0,0,41
159,Arshdeep Singh,9,6,7.8,111.42,18,1,3,0,0,39
160,Shiv Sunder Das,4,4,13.0,50.64,30,2,1,0,0,39
161,Piyush Chawla,25,12,5.42,65.51,13,3,0,0,0,38
162,Sudhir Sakharam Naik,2,2,19.0,55.88,20,3,0,0,0,38
163,Joginder Sharma,4,3,35.0,116.66,29,5,0,0,0,35
164,Salil Ankola,20,13,3.77,80.95,9,1,1,0,0,34
165,Raju Kulkarni,10,5,16.5,84.61,15,3,0,0,0,33
166,Atul Wassan,9,6,8.25,58.92,16,2,0,0,0,33
167,Venkatapathy Raju,53,16,4.0,47.76,8,1,0,0,0,32
168,Mohit Sharma,26,9,7.75,46.96,11,5,0,0,0,31
169,Bishan Singh Bedi,10,7,6.2,44.28,13,1,0,0,0,31
170,Debasis Mohanty,45,11,5.6,49.12,18,1,0,0,0,28
171,Dhawal Kulkarni,12,2,0.0,96.42,25,2,1,0,0,27
172,Eknath Dhondu Solkar,7,6,4.5,34.17,13,2,0,0,0,27
173,Abey Kuruvilla,25,11,3.71,60.46,7,1,1,0,0,26
174,Venkatesh Iyer,2,2,12.0,60.0,22,0,1,0,0,24
175,Sairaj Bahutule,8,4,7.66,79.31,11,2,0,0,0,23
176,Avesh Khan,8,4,7.66,79.31,10,2,1,0,0,23
177,Vivek Razdan,3,3,11.5,85.18,18,3,0,0,0,23
178,Ashok Dinda,13,5,4.2,58.33,16,1,0,0,0,21
179,Bharat Arun,4,3,10.5,65.62,8,2,0,0,0,21
180,Parthasarthi Sharma,2,2,10.0,51.28,14,0,0,0,0,20
181,Thirunavukkarasu Kumaran,8,3,6.33,70.37,8,2,0,0,0,19
182,Laxmi Shukla,3,2,9.0,94.73,13,1,0,0,0,18
183,Sujith Somasunder,2,2,8.0,25.39,9,1,0,0,0,16
184,Prashant Sridhar Vaidya,4,2,7.5,125.0,12,2,0,0,0,15
185,Yashasvi Jaiswal,1,1,15.0,68.18,15,3,0,0,0,15
186,Harshit Rana,5,1,13.0,130.0,13,1,1,0,0,13
187,Gurkeerat Singh Mann,3,3,6.5,100.0,8,2,0,0,0,13
188,Rahul Chahar,1,1,13.0,52.0,13,0,0,0,0,13
189,Rishi Dhawan,3,2,12.0,92.3,9,1,0,0,0,12
190,Gopal Sharma,11,2,5.5,45.83,7,0,0,0,0,11
191,Nilesh Kulkarni,10,5,5.5,55.0,5,0,0,0,0,11
192,Bharath Reddy,3,2,0.0,55.0,8,1,0,0,0,11
193,Bhagwath Chandrasekhar,1,1,0.0,84.61,11,0,0,0,0,11
194,Mukesh Kumar,6,2,10.0,62.5,6,2,0,0,0,10
195,Tirumalai Srinivasan,2,2,5.0,28.57,6,0,0,0,0,10
196,Wasim Jaffer,2,2,5.0,43.47,10,2,0,0,0,10
197,Dilip Rasiklal Doshi,15,5,3.0,45.0,5,0,0,0,0,9
198,Syed Khaleel Ahmed,11,3,4.5,52.94,5,1,0,0,0,9
199,Noel David,4,2,0.0,90.0,8,0,0,0,0,9
200,Lalchand Rajput,4,4,3.0,29.03,8,0,0,0,0,9
201,Narendra Hirwani,18,7,2.0,27.58,4,0,0,0,0,8
202,Rahul Sanghvi,10,2,4.0,72.72,8,0,1,0,0,8
203,Varun Aaron,9,3,8.0,53.33,6,1,0,0,0,8
204,Vikram Singh,2,1,8.0,61.53,8,1,0,0,0,8
205,Sanjay Raul,2,2,4.0,57.14,8,0,0,0,0,8
206,Pankaj Dharmani,1,1,8.0,100.0,8,0,0,0,0,8
207,Paras Mhambrey,3,1,0.0,140.0,7,1,0,0,0,7
208,Tinu Yohannan,3,2,0.0,63.63,5,0,0,0,0,7
209,Nitish Rana,1,1,7.0,50.0,7,0,0,0,0,7
210,Harvinder Singh,16,5,1.5,31.57,3,0,0,0,0,6
211,Ashok Patel,8,2,3.0,54.54,6,0,0,0,0,6
212,Utpal Subodh Chatterjee,3,2,6.0,20.0,3,0,0,0,0,6
213,Bhupinder Singh,2,1,6.0,46.15,6,0,0,0,0,6
214,Pochiah Krishnamurthy,1,1,6.0,46.15,6,0,0,0,0,6
215,Laxman Sivaramakrishnan,16,4,2.5,20.83,2,0,0,0,0,5
216,Aavishkar Salvi,4,3,2.0,28.57,4,0,0,0,0,4
217,Gyanendrakumar Kedarnath Pandey,2,2,4.0,36.36,4,0,0,0,0,4
218,Ramchandra Sudhakar Rao,1,1,4.0,28.57,4,0,0,0,0,4
219,Ravi Bishnoi,1,1,0.0,200.0,4,1,0,0,0,4
220,Gursharan Singh,1,1,4.0,40.0,4,0,0,0,0,4
221,Dodda Ganesh,1,1,4.0,50.0,4,0,0,0,0,4
222,Suru Nayak,4,1,3.0,15.78,3,0,0,0,0,3
223,Jayant Yadav,2,2,3.0,42.85,2,0,0,0,0,3
224,Pankaj Singh,1,1,0.0,100.0,3,0,0,0,0,3
225,Prasidh Krishna,17,7,1.0,11.76,2,0,0,0,0,2
226,Umran Malik,10,4,2.0,18.18,2,0,0,0,0,2
227,Saradindu Purnendu Mukherjee,3,1,0.0,100.0,2,0,0,0,0,2
228,Kuldeep Sen,1,1,0.0,50.0,2,0,0,0,0,2
229,Krishnappa Gowtham,1,1,2.0,66.66,2,0,0,0,0,2
230,Shivlal Yadav,7,2,0.0,6.25,1,0,0,0,0,1
231,Rajinder Singh Ghai,6,1,1.0,33.33,1,0,0,0,0,1
232,Yograj Singh,6,4,0.5,8.33,1,0,0,0,0,1
233,Rahul Sharma,4,1,1.0,50.0,1,0,0,0,0,1
234,Sudeep Tyagi,4,1,0.0,50.0,1,0,0,0,0,1
235,Siddarth Kaul,3,2,0.5,33.33,1,0,0,0,0,1
236,Naman Ojha,1,1,1.0,14.28,1,0,0,0,0,1
